YearStart,LocationAbbr,LocationDesc,obesity,aerobic_activity_150,muscle_strengthening_2plus,no_leisure_physical_activity,low_fruit_consumption,low_vegetable_consumption
2018,MD,Maryland,30.9,NA,NA,22.9,NA,NA
2018,MA,Massachusetts,25.7,NA,NA,22.4,NA,NA
2018,MI,Michigan,33,NA,NA,23.8,NA,NA
2018,MN,Minnesota,30.1,NA,NA,20.5,NA,NA
2018,MS,Mississippi,39.5,NA,NA,32,NA,NA
2018,MO,Missouri,35,NA,NA,26.1,NA,NA
2018,MT,Montana,26.9,NA,NA,22.7,NA,NA
2018,NE,Nebraska,34.1,NA,NA,23.8,NA,NA
2018,NV,Nevada,29.5,NA,NA,25,NA,NA
2018,NH,New Hampshire,29.6,NA,NA,21.5,NA,NA
2018,NJ,New Jersey,25.7,NA,NA,28.5,NA,NA
2018,NM,New Mexico,32.3,NA,NA,22.2,NA,NA
2018,NY,New York,27.6,NA,NA,23.8,NA,NA
2018,NC,North Carolina,33,NA,NA,23.9,NA,NA
2018,ND,North Dakota,35.1,NA,NA,22.3,NA,NA
2018,OH,Ohio,34,NA,NA,25.4,NA,NA
2018,OK,Oklahoma,34.8,NA,NA,27.2,NA,NA
2018,OR,Oregon,29.9,NA,NA,19.3,NA,NA
2018,PA,Pennsylvania,30.9,NA,NA,24,NA,NA
2018,RI,Rhode Island,27.7,NA,NA,25.3,NA,NA
2018,SC,South Carolina,34.3,NA,NA,26.7,NA,NA
2018,SD,South Dakota,30.1,NA,NA,24,NA,NA
2018,TN,Tennessee,34.4,NA,NA,30.9,NA,NA
2018,TX,Texas,34.8,NA,NA,25.6,NA,NA
2018,UT,Utah,27.8,NA,NA,17.5,NA,NA
2018,VT,Vermont,27.5,NA,NA,18.9,NA,NA
2018,VA,Virginia,30.4,NA,NA,22,NA,NA
2018,WA,Washington,28.7,NA,NA,17.6,NA,NA
2018,WV,West Virginia,39.5,NA,NA,28.2,NA,NA
2018,WI,Wisconsin,32,NA,NA,21.8,NA,NA
2018,WY,Wyoming,29,NA,NA,21.7,NA,NA
