LocationDesc,YearStart,obesity,overweight,activity_150,activity_150_strength,activity_300,muscle_strengthening,no_leisure_activity,fruit_lt_1_per_day,vegetables_lt_1_per_day
New Hampshire,2016,26.6,36.9,NA,NA,NA,NA,19.3,NA,NA
New Jersey,2016,27.4,36.5,NA,NA,NA,NA,29.8,NA,NA
New Mexico,2016,28.3,36.6,NA,NA,NA,NA,20.3,NA,NA
New York,2016,25.5,35.3,NA,NA,NA,NA,26.3,NA,NA
North Carolina,2016,31.8,35,NA,NA,NA,NA,23.3,NA,NA
North Dakota,2016,31.9,36.2,NA,NA,NA,NA,22.2,NA,NA
Ohio,2016,31.5,34.8,NA,NA,NA,NA,25.9,NA,NA
Oklahoma,2016,32.8,36,NA,NA,NA,NA,28.5,NA,NA
Oregon,2016,28.7,33.9,NA,NA,NA,NA,17.2,NA,NA
Pennsylvania,2016,30.3,35.2,NA,NA,NA,NA,22.9,NA,NA
Rhode Island,2016,26.6,37.1,NA,NA,NA,NA,24.4,NA,NA
South Carolina,2016,32.3,35.1,NA,NA,NA,NA,26.9,NA,NA
South Dakota,2016,29.6,37.3,NA,NA,NA,NA,18.9,NA,NA
Tennessee,2016,34.8,33.8,NA,NA,NA,NA,28.4,NA,NA
Texas,2016,33.7,34.8,NA,NA,NA,NA,25.2,NA,NA
Utah,2016,25.4,35,NA,NA,NA,NA,15.7,NA,NA
Vermont,2016,27.1,34.7,NA,NA,NA,NA,19.5,NA,NA
Virginia,2016,29,36.5,NA,NA,NA,NA,23.3,NA,NA
Washington,2016,28.6,34.9,NA,NA,NA,NA,17.6,NA,NA
West Virginia,2016,37.7,33.3,NA,NA,NA,NA,28.5,NA,NA
Wisconsin,2016,30.7,35.5,NA,NA,NA,NA,20,NA,NA
Wyoming,2016,27.7,36.5,NA,NA,NA,NA,23.1,NA,NA
National,2016,29.6,35.2,NA,NA,NA,NA,24.2,NA,NA
Guam,2016,28.3,36.2,NA,NA,NA,NA,29.6,NA,NA
Puerto Rico,2016,30.7,35.8,NA,NA,NA,NA,41.7,NA,NA
Virgin Islands,2016,32.5,32.7,NA,NA,NA,NA,26.1,NA,NA
Alabama,2017,36.3,33.9,42.8,16.1,26.3,26,32,44.9,19.3
Alaska,2017,34.2,32.6,58.3,24.2,37.6,34.7,20.6,36.9,19
Arizona,2017,29.5,35.3,52.7,22.1,33,31.5,25.1,37.2,20.8
Arkansas,2017,35,35.4,45.4,16.5,28.2,25.6,32.5,44.7,19.3
California,2017,25.1,35.8,57.5,23.9,35.4,34.3,20,32.5,21.4
Colorado,2017,22.6,36.1,58.7,26,37.8,35.5,19.5,33,17.4
Connecticut,2017,26.9,36.4,51.9,22.8,32.2,33.6,24,31.5,16.9
Delaware,2017,31.8,36.7,46.3,19,28.5,28.6,31,35.4,17.2
District of Columbia,2017,23,31,48.8,21.1,28.6,30.3,23,30.6,13.7
Florida,2017,28.4,35.6,49.5,20.5,32.1,30,29.2,34.4,19.4
Georgia,2017,31.6,33.7,46.1,20.3,27,31.4,31,38.6,18.1
Hawaii,2017,23.8,35,56.5,24.6,36.4,35.4,23.5,37,21
Idaho,2017,29.3,36.6,54.8,23.3,35.7,32.5,24.2,35.4,15.9
Illinois,2017,31.1,34.7,52.5,21.6,30.3,30.7,24,33.3,21.3
Indiana,2017,33.6,34.4,46.4,17.1,28.2,27.2,29.8,40.7,19.2
Iowa,2017,36.4,33.7,50.2,19.2,30.3,28.9,25,35.6,19.3
Kansas,2017,32.4,34.9,49.3,19,30.6,28.5,27.9,37.6,17.3
Kentucky,2017,34.3,33.5,44.7,16.8,28.4,26.4,34.4,42.7,17
Louisiana,2017,36.2,33.8,45,17.8,28.4,28,31.8,45,23.9
Maine,2017,29.1,35.9,52.8,20.1,33.8,29.5,25.2,31.4,12.4
Maryland,2017,31.3,34.9,50.6,21.6,29,31.9,25.6,34.3,18.3
Massachusetts,2017,25.9,35.6,50.9,21.6,31.1,31.2,24.8,31.2,16.7
Michigan,2017,32.3,34.9,49.5,19.1,31.1,29.9,27.2,36.4,18.5
